about_the_game,short_description,genres,tags,filtered_genres
noah has been commanded by god to put two of each animal aboard his ark to save them from the flood however unhappy people from around the world have captured different animal species preventing noah from doing his job noah will need to visit these different locations and free the animals from the people holding them captive noahs ark is a side scrolling action game the player as noah must choose which level from several world locations to play once in a level noah can move left right duck jump and fire pellets directly in front of him these pellets can be used to defeat enemy creatures and uncover hidden items at the end of each level noah will encounter a stronger enemy creature who must be defeated noahs ultimate goal is to rescue the designated captive animals listed for each level,noah has been commanded by god to put two of each animal aboard his ark to save them from the flood,"['action', 'adventure']",action 71 adventure 64 actionadventure 40 shooter 38 shoot em up 34 side scroller 31 2d 27 cartoony 25 faith 23 family friendly 21 controller 19 linear 17 singleplayer 16,"['action', 'adventure']"
ninjapple is a 2d platformer taking place in fruitland someone wants to use the five elements to control the world and created an army of vegetables to do so  collect the five elemental medalions to succeed in your quest and save fruitland ,ninjapple is a crazy 2d platformer in which you need to collect the five elemental medalions to bring peace back to the world  take part in this adventure throughout many levels ,"['action', 'indie', 'early', 'access']",action 56 indie 56 early access 31 great soundtrack 11 singleplayer 11,"['action', 'indie', 'early', 'access']"
blissful life in solarimere archipelago is in danger barbaric aquator tribe is invading peaceful aerian lands join officers of queen albina in their struggle to repel aquator invasion build and upgrade defensive structures place traps manage resources strategically and fling attackers across the sky gameplay analyze attackers and choose fitting defenses to take with you into battle strategically place towers traps and other buildings and fight off waves of pesky aquators manage your gold and level up defenses earn crystals and permanently upgrade your defenses between levels push through more challenging difficulty levels to test your skill play custom levels for more challenge or weird level design community has come up with story  follow aerian and aquator struggle in a campaign consisting of 25 challenging levels open level design  levels are designed to take full advantage of vertical space in 3d terrain no more boring defenses on the flat surface only defensive structures  build impenetrable defenses no stinking aquator will breach unlock new defenses and upgrade them varied enemies  youd be surprised what aquators have in their sleeve considering most of them dont have sleeves at all puns  bird and fish puns to be more spefishic a lot of them actually level editor  extend your game with free community made levels or create your own fully featured levels and share them with the community on games steam workshop ,seacurity breach is a 3d tower defense game with a twist we embrace verticality ragdoll effects and a unique unit design expand gameplay experience by creating a level yourself or test your skills against a multitude of fancreated maps join aerian forces to repel aquator invasion,"['adventure', 'indie', 'strategy']",strategy 53 indie 42 tower defense 30 adventure 29 action 21 difficult 21 3d 21 level editor 21 pirates 20 casual 12 early access 11 fantasy 11 violent 10 actionadventure 9,"['adventure', 'indie', 'strategy']"
the crane trials red edition is the first chapter of the multichapter crane trial series the game revolves around trying to escape each area that you are put in in this chapter the player will attempt to escape his house that he was locked in after waking up and not remembering anything other than the fact the he must escape,after a harsh breakup you are locked in your own home and must escape,"['adventure', 'indie', 'simulation']",,"['adventure', 'indie', 'simulation']"
x drive  multiplayer dynamic shooter from the third person view developed for vr headset in game you will face with stunning battles against other players who trying to defeat you by any way by controling dangerous combat machines actions will not get you bored maximum power better guns armor increasing and powerful shields will be your power in combat headquarters you will have your own workshop where you can upgrade your drones as you like also you will have a control panel where you can choose your fight target dynamic fights time in battle goes fast but you need to make decisions even faster hangar gather equip and upgrade your fight drones as you like you will have a wide module selection full dive here you and your drone is one unit every your desision affecting on behaviour of your machine each pilot is unique thats why your temper and style of behaviour reflecting on controlling of drone multiplayer you can fight in real time with the real people in different modes so unite with your friends while destroying your enemies which are controlled by ai ,x drive  multiplayer dynamic shooter from the third person view developed for vr headset,"['action', 'indie', 'massively', 'multiplayer', 'rpg', 'simulation', 'early', 'access']",massively multiplayer 34 action 33 early access 33 indie 32 rpg 31 simulation 31 vr 17 third person 12 thirdperson shooter 12 online coop 12,"['action', 'indie', 'massively', 'multiplayer', 'rpg', 'simulation', 'early', 'access']"
push the blocks to the correct tiles to pass the levels new mechanics are always introduced  handcrafted levels  relaxing soundtrack  minimalist interface  undo option  sokoban with a relaxing experience  cute robot ,sokolab is a sokoban game where you play as a cute robot push blocks to the objective to reach the end of the level new mechanics are introduced throughout the game adding layers of complexity to the puzzles can you reach the last level,"['casual', 'strategy']",robots 211 sokoban 205 puzzle 201 gridbased movement 196 topdown 190 logic 180 difficult 173 tabletop 165 cute 156 3d 147 strategy 145 controller 137 casual 129 relaxing 123 cartoony 94 colorful 78 family friendly 61 isometric 43 minimalist 26 singleplayer 24,"['casual', 'strategy']"
introduction pixel robot is coming back in this new 2d pixel shooter game player is robot whose mission is to kill robot boss and collect treasures after killing boss level is complete levels contain different enemies  flying and walking soldiers flying and walking gangsters and spiders and robot bosses in end of every levels also different traps like spikes which will kill player player can also collect different weapons like megapistol and bomb ammos  also health pickups are available and coins for every level game contains also checkpoint system where player will respawn after death game contains 22 levels with different themes features  22 levels  checkpoint system  doublejump  health system  player sliding feature  3 different weapons normal rifle laser rifle and firebomb weapon  ammo pickups  health pickups  coin pickups  steam achievements  different enemies flying gangster running gangster walking soldier flying soldier spider robot boss with weapons  flying platformers  controllergamepad support,pixel robot is coming back destroy enormous robot boss and collect treasures,"['adventure', 'indie']",adventure 71 2d fighter 45 arcade 42 2d platformer 39 runner 36 bullet hell 30 2d 28 pixel graphics 26 space 24 surreal 22 indie 21 hack and slash 20 linear 18 singleplayer 16 retro 14,"['adventure', 'indie']"
have you ever thought to yourself politics are so simple and the electoral process is perfect of course you haven’t megalo polis gives you a taste of the insanity by throwing you onto the political trail rubbing elbows overselling scant promises and engineering scandals to become the next president of the united states of america there’s no rest on the campaign trail in this quickwitted rts you’ll need to think fast to recognize and seize opportunities to spread your influence… with maybe just a touch of manipulation any great white house sits atop a solid foundation build your campaign from the ground up as you identify key states political allies and amass a loyal group of supporters to spread your word and do your bidding but that’s only leg one of this political race to truly achieve greatness you’ll need to outsmart and outmaneuver your equally hungry rivals budget your time and your wallet as you persuade voters to vote in your favor by any means necessary whether you’re making it rain on impressionable students or spreading seedy gossip you’ll want to make it clear you deserve to be top dog who said political campaigns were clean business do you have what it takes to decide the nation’s future ,do you have what it takes to survive the cutthroat competition of the campaign trail and become the next us president it’s time to rub elbows oversell your scant promises and engineer a few scandals―because nobody gets into the white house without getting a little dirty,"['indie', 'strategy']",strategy 22 indie 21 political 11,"['indie', 'strategy']"
background on the way back to the sect ji wu the master of the tianling sect of the xianwu continent was besieged by hundreds of men in black ji wu finally escaped back to the sect at all costs but he had not much time left ji wu exhausted the remaining life and sent his son to the lowest plane to avoid chasing and killing at the same time the claws of the abyss universe were stretched out and the abyss lords were summoning their subordinates to prepare for an invasion of this universe can ji feng fulfill his fathers last wish and establish the strongest sect and can he resist the invasion from the abyss the master of the sect the player is the master of the tianling sect and can make the sect stronger through various methods recruit outstanding disciples and train them buy spirit beasts upgrade facilities and build miraculous buildings choose sect concepts and upgrade technology through various methods players will grow up their sects step by step some functions disciple disciple can wear 3 kinds of equipment cultivate 5 cultivation laws and equip 5 mechanical organs equipment and cultivation laws each has 3 types and 7 levels technology upgrade the projectsin each branch to get some effects facilities facilities have the functions of increasing spirit stones medicinal materials and enhancing the attributes of disciples treasure after defeating the abyss demon you can get a treasure miracle building get blueprints through system lottery which can be constructed at the expense of spirit stones,lead your sect to become the strongest in the universe,"['indie', 'simulation', 'strategy']",simulation 69 strategy 64 indie 43 turnbased strategy 40 mythology 38 management 36 basebuilding 28 multiple endings 27 singleplayer 26 fantasy 21 2d 18 turnbased combat 18 crpg 14,"['indie', 'simulation', 'strategy']"
flicker is a rhythmical jumpandavoid game eat yellow squareslike packman and avoid other squares if you eat enough yellowthings then you will be in the state of annoying flickering that flickering means you are invincible so you might desire to eat the yellows thats the key point of the game its so easy to play and easy to kill your time so be careful to play the game there are funny 3 stages available,flicker is a rhythmical jumpandavoid game eat yellow squareslike packman and avoid other squares,"['action', 'casual', 'indie']",action 69 casual 63 platformer 40 rhythm 37 2d platformer 35 2d 28 colorful 26 minimalist 25 funny 22 indie 21 linear 20 score attack 18 singleplayer 16,"['action', 'casual', 'indie']"
